MH687978.1 Betacoronavirus sp. strain VZ_BetaCoV_22084_6, complete genome
MG912600.1 Middle East respiratory syndrome-related coronavirus strain Hu/Riyadh-KSA-8882/2017, complete genome
MG912599.1 Middle East respiratory syndrome-related coronavirus strain Hu/Riyadh-KSA-8667/2017, complete genome
MG912598.1 Middle East respiratory syndrome-related coronavirus strain Hu/Riyadh-KSA-7680/2017, complete genome
MG912597.1 Middle East respiratory syndrome-related coronavirus strain Hu/Riyadh-KSA-7423/2017, complete genome
MG912596.1 Middle East respiratory syndrome-related coronavirus strain Hu/Riyadh-KSA-7373/2017, complete genome
MG912595.1 Middle East respiratory syndrome-related coronavirus strain Hu/Riyadh-KSA-7178/2017, complete genome
MG913343.1 Avian coronavirus isolate AvCoV/Gallus gallus/Brazil/sample 22/2013, complete genome
MG913342.1 Avian coronavirus isolate AvCoV/Gallus gallus/Brazil/sample 38/2013 GI-11, complete genome, complete genome
LC364346.1 Quail coronavirus UAE-HKU30 1101F genomic RNA, complete genome
LC364345.1 Quail coronavirus UAE-HKU30 411F genomic RNA, complete genome
LC364344.1 Pigeon coronavirus UAE-HKU29 271F genomic RNA, complete genome
LC364343.1 Houbara coronavirus UAE-HKU28 285F genomic RNA, complete genome
LC364342.1 Falcon coronavirus UAE-HKU27 988F genomic RNA, complete genome
MH615810.1 Swine acute diarrhea syndrome coronavirus isolate SADS-CoV-CH-FJWT-2018, complete genome
MH708125.1 Porcine deltacoronavirus strain HNZK-06, complete genome
MH708124.1 Porcine deltacoronavirus strain HNZK-04, complete genome
MH708123.1 Porcine deltacoronavirus strain HNZK-02, complete genome
NC_039208.1 Porcine coronavirus HKU15 strain HKU15-155, complete genome
NC_039207.1 Betacoronavirus Erinaceus/VMC/DEU/2012 isolate ErinaceusCoV/2012-174/GER/2012, complete genome
NC_038861.1 Transmissible gastroenteritis virus complete genome, genomic RNA
NC_038294.1 Betacoronavirus England 1, complete genome
NC_011547.1 Bulbul coronavirus HKU11-934, complete genome
MG366483.1 Middle East respiratory syndrome-related coronavirus strain Hu/Riyadh-KSA-7413/2017, complete genome
NC_034972.1 Coronavirus AcCoV-JC34, complete genome
NC_032730.1 Lucheng Rn rat coronavirus isolate Lucheng-19, complete genome
NC_032107.1 NL63-related bat coronavirus strain BtKYNL63-9a, complete genome
NC_030886.1 Rousettus bat coronavirus isolate GCCDC1 356, complete genome
NC_030292.1 Ferret coronavirus isolate FRCoV-NL-2010, complete genome
NC_028833.1 BtNv-AlphaCoV/SC2013, complete genome
NC_028824.1 BtRf-AlphaCoV/YN2012, complete genome
NC_028814.1 BtRf-AlphaCoV/HuB2013, complete genome
NC_028811.1 BtMr-AlphaCoV/SAX2011, complete genome
NC_028806.1 Swine enteric coronavirus strain Italy/213306/2009, complete genome
NC_028752.1 Camel alphacoronavirus isolate camel/Riyadh/Ry141/2015, complete genome
NC_026011.1 Betacoronavirus HKU24 strain HKU24-R05005I, complete genome
NC_025217.1 Bat Hp-betacoronavirus/Zhejiang2013, complete genome
NC_019843.3 Middle East respiratory syndrome coronavirus, complete genome
NC_023760.1 Mink coronavirus strain WD1127, complete genome
AC_000192.1 Murine hepatitis virus strain JHM, complete genome
NC_022103.1 Bat coronavirus CDPHE15/USA/2006, complete genome
NC_018871.1 Rousettus bat coronavirus HKU10, complete genome
NC_017083.1 Rabbit coronavirus HKU14, complete genome
NC_016992.1 Sparrow coronavirus HKU17, complete genome
NC_016991.1 White-eye coronavirus HKU16, complete genome
NC_016996.1 Common-moorhen coronavirus HKU21, complete genome
NC_016995.1 Wigeon coronavirus HKU20, complete genome
NC_016994.1 Night-heron coronavirus HKU19, complete genome
NC_016993.1 Magpie-robin coronavirus HKU18, complete genome
NC_002306.3 Feline infectious peritonitis virus, complete genome
NC_014470.1 Bat coronavirus BM48-31/BGR/2008, complete genome
NC_012936.1 Rat coronavirus Parker, complete genome
NC_011550.1 Munia coronavirus HKU13-3514, complete genome
NC_011549.1 Thrush coronavirus HKU12-600, complete genome
NC_010800.1 Turkey coronavirus, complete genome
NC_010646.1 Beluga Whale coronavirus SW1, complete genome
NC_010438.1 Bat coronavirus HKU8, complete genome
NC_010437.1 Bat coronavirus 1A, complete genome
NC_009988.1 Bat coronavirus HKU2, complete genome
NC_009657.1 Scotophilus bat coronavirus 512, complete genome
NC_009021.1 Bat coronavirus HKU9-1, complete genome
NC_009020.1 Bat coronavirus HKU5-1, complete genome
NC_009019.1 Bat coronavirus HKU4-1, complete genome
NC_006577.2 Human coronavirus HKU1, complete genome
NC_005831.2 Human Coronavirus NL63, complete genome
NC_004718.3 SARS coronavirus, complete genome
NC_003436.1 Porcine epidemic diarrhea virus, complete genome
NC_003045.1 Bovine coronavirus, complete genome
NC_002645.1 Human coronavirus 229E, complete genome
NC_001846.1 Mouse hepatitis virus strain MHV-A59 C12 mutant, complete genome
NC_001451.1 Avian infectious bronchitis virus, complete genome
MH432120.1 Middle East respiratory syndrome-related coronavirus isolate 2366, complete genome
MH395139.1 Middle East respiratory syndrome-related coronavirus isolate 2363, complete genome
MH371127.1 Middle East respiratory syndrome-related coronavirus isolate 2362, complete genome
KY293678.1 Porcine deltacoronavirus isolate CH/JXJGS02/2016, complete genome
MH021175.1 Avian coronavirus strain D274, complete genome
MG977452.1 Human coronavirus OC43 isolate TNP 12643, complete genome
MG977451.1 Human coronavirus OC43 isolate TNP 12636, complete genome
MG977449.1 Human coronavirus OC43 isolate TNP F1834_2, complete genome
MG977447.1 Human coronavirus OC43 isolate TNP F1832_2, complete genome
MG977445.1 Human coronavirus OC43 isolate TNP F1790_2, complete genome
MG977444.1 Human coronavirus OC43 isolate TNP F1778_2, complete genome
MF642325.1 Porcine deltacoronavirus strain CHN/QH/2017/1, complete genome
MF642324.1 Porcine deltacoronavirus strain CHN/GS/2017/1, complete genome
MF642323.1 Porcine deltacoronavirus strain CHN/GS/2016/2, complete genome
MF642322.1 Porcine deltacoronavirus strain CHN/GS/2016/1, complete genome
MG812378.1 Sparrow deltacoronavirus strain ISU73347, complete genome
MG812377.1 Sparrow deltacoronavirus strain ISU42824, complete genome
MG812376.1 Sparrow deltacoronavirus strain ISU690-7, complete genome
MG812375.1 Sparrow deltacoronavirus strain ISU690-4, complete genome
MH107322.1 Porcine epidemic diarrhea virus isolate GDS23, complete genome
MH107321.1 Porcine epidemic diarrhea virus isolate GDS10, complete genome
MH454272.1 Middle East respiratory syndrome-related coronavirus strain HCoV-EMC, complete genome
LT906620.1 Porcine epidemic diarrhea virus isolate CV777 genome assembly, complete genome: monopartite
LT906582.1 Porcine epidemic diarrhea virus isolate Br1_87 genome assembly, complete genome: monopartite
LT906581.1 Porcine epidemic diarrhea virus isolate CV777 genome assembly, complete genome: monopartite
LT905451.1 Porcine epidemic diarrhea virus isolate CV777 genome assembly, complete genome: monopartite
LT905450.1 Porcine epidemic diarrhea virus isolate CV777 genome assembly, complete genome: monopartite
LT897799.1 Porcine epidemic diarrhea virus isolate PEDV_GER_L00901-V215_1978 genome assembly, complete genome: monopartite
LT900502.1 Porcine epidemic diarrhea virus isolate PEDV_AUSTRIA_L01062-M10_15-01_2015 genome assembly, complete genome: monopartite
LT900501.1 Porcine epidemic diarrhea virus isolate PEDV_GER_L00928-K20_14-03_2014 genome assembly, complete genome: monopartite
LT900500.1 Porcine epidemic diarrhea virus isolate PEDV_GER_L00799-K11_14-01_2014 genome assembly, complete genome: monopartite
LT900498.1 Porcine epidemic diarrhea virus isolate PEDV_GER_L00907-K16_14-02_2014 genome assembly, complete genome: monopartite
LT898447.1 Porcine epidemic diarrhea virus isolate PEDV_GER_L00862_2014 genome assembly, complete genome: monopartite
LT898446.1 Porcine epidemic diarrhea virus isolate PEDV_GER_L00933-K22_14-05_2014 genome assembly, complete genome: monopartite
LT898445.1 Porcine epidemic diarrhea virus isolate PEDV_GER_L00798-K11_14-02_2014 genome assembly, complete genome: monopartite
LT898444.1 Porcine epidemic diarrhea virus isolate PEDV_GER_L01420-K06_15-04_2015 genome assembly, complete genome: monopartite
LT898443.1 Porcine epidemic diarrhea virus isolate PEDV_GER_L01015-K01_15-05_2015 genome assembly, complete genome: monopartite
LT898441.1 Porcine epidemic diarrhea virus isolate PEDV_AUSTRIA_L01064-M10_15-03_2015 genome assembly, complete genome: monopartite
LT898440.1 Porcine epidemic diarrhea virus isolate PEDV_GER_L00931-K22_14-03_2014 genome assembly, complete genome: monopartite
LT898439.1 Porcine epidemic diarrhea virus isolate PEDV_GER_L01059-K07_15-01_2015 genome assembly, complete genome: monopartite
LT898438.1 Porcine epidemic diarrhea virus isolate PEDV_GER_L00932-K22_14-04_2014 genome assembly, complete genome: monopartite
LT898436.1 Porcine epidemic diarrhea virus isolate PEDV_ROMANIA_L01329-K25_15-01_2015 genome assembly, complete genome: monopartite
LT898435.1 Porcine epidemic diarrhea virus isolate PEDV_ROMANIA_L01330-K25_15-02_2015 genome assembly, complete genome: monopartite
LT898433.1 Porcine epidemic diarrhea virus isolate PEDV_AUSTRIA_L01063-M10_15-02_2015 genome assembly, complete genome: monopartite
LT898432.1 Porcine epidemic diarrhea virus isolate PEDV_GER_L01011-K01_15-01_2015 genome assembly, complete genome: monopartite
LT898431.1 Porcine epidemic diarrhea virus isolate PEDV_GER_L00918-K17_14-01_2014 genome assembly, complete genome: monopartite
LT898430.1 Porcine epidemic diarrhea virus isolate PEDV_GER_L00906-K16_14-01_2014 genome assembly, complete genome: monopartite
LT898427.1 Porcine epidemic diarrhea virus isolate PEDV_GER_L00927-K20_14-02_2014 genome assembly, complete genome: monopartite
LT898426.1 Porcine epidemic diarrhea virus isolate PEDV_GER_L00857-K14_14-04_2014 genome assembly, complete genome: monopartite
LT898425.1 Porcine epidemic diarrhea virus isolate PEDV_GER_L00998-K06_15-03_2015 genome assembly, complete genome: monopartite
LT898423.1 Porcine epidemic diarrhea virus isolate PEDV_GER_L01012-K01_15-02_2015 genome assembly, complete genome: monopartite
LT898421.1 Porcine epidemic diarrhea virus isolate PEDV_GER_L00919-K17_14-02_2014 genome assembly, complete genome: monopartite
LT898420.1 Porcine epidemic diarrhea virus isolate PEDV_GER_L01014-K01_15-04_2015 genome assembly, complete genome: monopartite
LT898418.1 Porcine epidemic diarrhea virus isolate PEDV_AUSTRIA_L01065-M10_15-04_2015 genome assembly, complete genome: monopartite
LT898417.1 Porcine epidemic diarrhea virus isolate PEDV_GER_L00855-K14_14-02_2014 genome assembly, complete genome: monopartite
LT898416.1 Porcine epidemic diarrhea virus isolate PEDV_GER_L01017-K01_15-07_2015 genome assembly, complete genome: monopartite
LT898415.1 Porcine epidemic diarrhea virus isolate PEDV_GER_L00926-K20_4-01_2014 genome assembly, complete genome: monopartite
LT898414.1 Porcine epidemic diarrhea virus isolate PEDV_GER_L01060-K07_15-02_2015 genome assembly, complete genome: monopartite
LT898413.1 Porcine epidemic diarrhea virus isolate PEDV_GER_L01020-K01_15-10_2015 genome assembly, complete genome: monopartite
LT898412.1 Porcine epidemic diarrhea virus isolate PEDV_GER_L01019-K01_15-09_2015 genome assembly, complete genome: monopartite
LT898411.1 Porcine epidemic diarrhea virus isolate PEDV_GER_L01018-K01_15-08_2015 genome assembly, complete genome: monopartite
LT898410.1 Porcine epidemic diarrhea virus isolate PEDV_GER_L00908-K16_14-03_2014 genome assembly, complete genome: monopartite
LT898409.1 Porcine epidemic diarrhea virus isolate PEDV_GER_L00999-K06_15-07_2015 genome assembly, complete genome: monopartite
LT898408.1 Porcine epidemic diarrhea virus isolate PEDV_GER_L01013-K01_15-03_2015 genome assembly, complete genome: monopartite
LT545990.1 Swine enteric coronavirus isolate SeCoV_GER_L00930_2012 genome assembly, complete genome: monopartite
MF508703.1 Infectious bronchitis virus isolate YX10 D90 vaccine, complete genome
MG837058.1 Porcine epidemic diarrhea virus isolate PC273/O, complete genome
MH306207.1 Middle East respiratory syndrome-related coronavirus strain HCoV-EMC, complete genome
MH052689.1 Porcine epidemic diarrhea virus isolate KNU-1710, complete genome
MH052688.1 Porcine epidemic diarrhea virus isolate KNU-1709, complete genome
MH052687.1 Porcine epidemic diarrhea virus isolate KNU-1708, complete genome
MH052685.1 Porcine epidemic diarrhea virus isolate KNU-1706, complete genome
MH052684.1 Porcine epidemic diarrhea virus isolate KNU-1705, complete genome
MH052683.1 Porcine epidemic diarrhea virus isolate KNU-1704, complete genome
MH052682.1 Porcine epidemic diarrhea virus isolate KNU-1703, complete genome
MH052681.1 Porcine epidemic diarrhea virus isolate KNU-1702, complete genome
MG428706.1 Human coronavirus NL63 isolate Kilifi_HH_3808_24-May-2010, complete genome
MG428705.1 Human coronavirus NL63 isolate Kilifi_HH_0522_21-May-2010, complete genome
MG428704.1 Human coronavirus NL63 isolate Kilifi_HH_5402_20-May-2010, complete genome
MG428703.1 Human coronavirus NL63 isolate Kilifi_HH_0511_01-Jun-2010, complete genome
MG428702.1 Human coronavirus NL63 isolate Kilifi_HH_3807_11-May-2010, complete genome
MG428701.1 Human coronavirus NL63 isolate Kilifi_HH_0512_04-Jun-2010, complete genome
MG428699.1 Human coronavirus NL63 isolate Kilifi_HH_5709_19-May-2010, complete genome
MG742313.1 Porcine enteric Alphacoronavirus strain PEAV-GD-CH/2017, complete genome
MG837133.1 Porcine deltacoronavirus isolate KNU16-07-P30, complete genome
MG837132.1 Porcine deltacoronavirus isolate KNU16-07-P20, complete genome
MG837131.1 Porcine deltacoronavirus isolate KNU16-07-P10, complete genome
MG837130.1 Porcine deltacoronavirus isolate KNU16-07-P5, complete genome
MF281416.1 Porcine epidemic diarrhea virus isolate NB1, complete genome
MG242062.1 Porcine deltacoronavirus isolate CHN-HeB1-2017, complete genome
MF113046.1 Alphacoronavirus Mink/China/1/2016, complete genome
MG021452.1 Middle East respiratory syndrome-related coronavirus isolate NL140422, complete genome
MH043955.1 Bovine coronavirus isolate 7-16-23, complete genome
MH043954.1 Bovine coronavirus isolate 4-17-08, complete genome
MH043953.1 Bovine coronavirus isolate 4-17-25, complete genome
MH043952.1 Bovine coronavirus isolate 4-17-03, complete genome
MG763935.1 Infectious bronchitis virus strain IBV/Chicken/Haryana/53/2013, complete genome
LC260044.1 Porcine deltacoronavirus genomic RNA, complete genome, strain: YMG/JPN/2014
LC260043.1 Porcine deltacoronavirus genomic RNA, complete genome, strain: OKN/JPN/2014
LC260042.1 Porcine deltacoronavirus genomic RNA, complete genome, strain: MYZ/JPN/2014
LC260041.1 Porcine deltacoronavirus genomic RNA, complete genome, strain: IWT/JPN/2014
LC260040.1 Porcine deltacoronavirus genomic RNA, complete genome, strain: GNM-2/JPN/2014
LC260039.1 Porcine deltacoronavirus genomic RNA, complete genome, strain: GNM-1/JPN/2014
LC260038.1 Porcine deltacoronavirus genomic RNA, complete genome, strain: AKT/JPN/2014
MF769444.1 Swine acute diarrhea syndrome coronavirus isolate DCD7, complete genome
MF769443.1 Swine acute diarrhea syndrome coronavirus isolate DCD6, complete genome
MF769442.1 Swine acute diarrhea syndrome coronavirus isolate DCD5, complete genome
MF769441.1 Swine acute diarrhea syndrome coronavirus isolate 82, complete genome
MF769440.1 Swine acute diarrhea syndrome coronavirus isolate 146, complete genome
MF769439.1 Swine acute diarrhea syndrome coronavirus isolate 189, complete genome
MF769438.1 Swine acute diarrhea syndrome coronavirus isolate 50, complete genome
MF769437.1 Swine acute diarrhea syndrome coronavirus isolate 54, complete genome
MF769436.1 Swine acute diarrhea syndrome coronavirus isolate 250, complete genome
MF769435.1 Swine acute diarrhea syndrome coronavirus isolate 32, complete genome
MF769434.1 Swine acute diarrhea syndrome coronavirus isolate 34, complete genome
MF769433.1 Swine acute diarrhea syndrome coronavirus isolate 44, complete genome
MF769432.1 Swine acute diarrhea syndrome coronavirus isolate 89, complete genome
MF769431.1 Swine acute diarrhea syndrome coronavirus isolate 202, complete genome
MF769430.1 Swine acute diarrhea syndrome coronavirus isolate 188, complete genome
MF769429.1 Swine acute diarrhea syndrome coronavirus isolate 27, complete genome
MF769428.1 Swine acute diarrhea syndrome coronavirus isolate 53, complete genome
MF769427.1 Swine acute diarrhea syndrome coronavirus isolate 75, complete genome
MF769426.1 Swine acute diarrhea syndrome coronavirus isolate 86, complete genome
MF769425.1 Swine acute diarrhea syndrome coronavirus isolate 192, complete genome
MF769424.1 Swine acute diarrhea syndrome coronavirus isolate 182, complete genome
MF769423.1 Swine acute diarrhea syndrome coronavirus isolate 175, complete genome
MF769422.1 Swine acute diarrhea syndrome coronavirus isolate 203, complete genome
MF769421.1 Swine acute diarrhea syndrome coronavirus isolate 211, complete genome
MF769420.1 Swine acute diarrhea syndrome coronavirus isolate 246, complete genome
MF769419.1 Swine acute diarrhea syndrome coronavirus isolate 197, complete genome
MF769418.1 Swine acute diarrhea syndrome coronavirus isolate 207, complete genome
MF769417.1 Swine acute diarrhea syndrome coronavirus isolate 31, complete genome
MF769416.1 Swine acute diarrhea syndrome coronavirus isolate 57, complete genome
MF094688.1 Swine acute diarrhea syndrome related coronavirus isolate 162140, complete genome
MF094687.1 Swine acute diarrhea syndrome related coronavirus isolate 141388, complete genome
MF094686.1 Swine acute diarrhea syndrome related coronavirus isolate 8495, complete genome
MF094685.1 Swine acute diarrhea syndrome related coronavirus isolate 8462, complete genome
MF094684.1 Swine acute diarrhea syndrome coronavirus isolate FarmD, complete genome
MF094683.1 Swine acute diarrhea syndrome coronavirus isolate FarmC, complete genome
MF094682.1 Swine acute diarrhea syndrome coronavirus isolate FarmB, complete genome
MF094681.1 Swine acute diarrhea syndrome coronavirus isolate FarmA, complete genome
MG557844.1 Swine acute diarrhea syndrome coronavirus isolate SADS-CoV/CN/GDWT/2017, complete genome
MF083115.1 Porcine hemagglutinating encephalomyelitis virus strain CC14, complete genome
MG021451.1 Middle East respiratory syndrome-related coronavirus isolate NL13845, complete genome
MH013216.1 Middle East respiratory syndrome-related coronavirus strain HCoV-EMC, complete genome
MH013466.1 Porcine epidemic diarrhea virus strain PEDV/MEX/QRO/02/2017, complete genome
MH013465.1 Porcine epidemic diarrhea virus strain PEDV/MEX/QRO/01/2017, complete genome
MH013464.1 Porcine epidemic diarrhea virus strain PEDV/MEX/VER/02/2015, complete genome
MH013463.1 Porcine epidemic diarrhea virus strain PEDV/MEX/VER/01/2015, complete genome
MH013462.1 Porcine epidemic diarrhea virus strain PEDV/MEX/SON/01/2015, complete genome
MH006965.1 Porcine epidemic diarrhea virus strain PEDV/MEX/MICH/02/2013, complete genome
MH006964.1 Porcine epidemic diarrhea virus strain PEDV/MEX/JAL/02/2014, complete genome
MH006963.1 Porcine epidemic diarrhea virus strain PEDV/MEX/PUE/01/2016, complete genome
MH006962.1 Porcine epidemic diarrhea virus strain PEDV/MEX/MICH/02/2015, complete genome
MH006961.1 Porcine epidemic diarrhea virus strain PEDV/MEX/JAL/01/2014, complete genome
MH006960.1 Porcine epidemic diarrhea virus strain PEDV/MEX/VER/01/2014, complete genome
MH006959.1 Porcine epidemic diarrhea virus strain PEDV/MEX/GTO/01/2013, complete genome
MH006958.1 Porcine epidemic diarrhea virus strain PEDV/MEX/MICH/19/2013, complete genome
MH006957.1 Porcine epidemic diarrhea virus strain PEDV/MEX/MICH/01/2013, complete genome
MH004421.1 Porcine epidemic diarrhea virus strain PEDV/MEX/PUE/01/2015, complete genome
MH004420.1 Porcine epidemic diarrhea virus strain PEDV/MEX/JAL/05/2017, complete genome
MH004419.1 Porcine epidemic diarrhea virus strain PEDV/MEX/JAL/04/2017, complete genome
MH004418.1 Porcine epidemic diarrhea virus strain PEDV/MEX/JAL/03/2017, complete genome
MH004417.1 Porcine epidemic diarrhea virus strain PEDV/MEX/JAL/02/2017, complete genome
MH004416.1 Porcine epidemic diarrhea virus strain PEDV/MEX/JAL/01/2017, complete genome
MH004415.1 Porcine epidemic diarrhea virus strain PEDV/MEX/JAL/19/2014, complete genome
MH004414.1 Porcine epidemic diarrhea virus strain PEDV/MEX/JAL/19/2017, complete genome
MH004413.1 Porcine epidemic diarrhea virus strain PEDV/MEX/JAL/03/2016, complete genome
MH004412.1 Porcine epidemic diarrhea virus strain PEDV/MEX/GTO/02/2016, complete genome
MF593268.1 Middle East respiratory syndrome-related coronavirus strain Neoromicia/5038, complete genome
MF280390.1 Porcine deltacoronavirus strain CHN-GD-2016, complete genome
MF314143.1 Human coronavirus OC43 isolate HCoV-OC43/USA/ACRI_0052/2016, complete genome
MF374985.2 Human coronavirus OC43 isolate HCoV-OC43/USA/TCNP_00212/2017, complete genome
MF374983.2 Human coronavirus OC43 isolate HCoV-OC43/USA/TCNP_0070/2016, complete genome
MG762674.1 Rousettus bat coronavirus HKU9 isolate Rousettus spp/Jinghong/2009, complete genome
MG518518.1 Water deer coronavirus isolate W17-18, complete genome
MG923481.1 Middle East respiratory syndrome-related coronavirus isolate MERS-CoV camel/Nigeria/NV2020/2016, complete genome
MG923480.1 Middle East respiratory syndrome-related coronavirus isolate MERS-CoV camel/Nigeria/NV1787/2016, complete genome
MG923479.1 Middle East respiratory syndrome-related coronavirus isolate MERS-CoV camel/Nigeria/NV1712/2016, complete genome
MG923478.1 Middle East respiratory syndrome-related coronavirus isolate MERS-CoV camel/Nigeria/NV1673/2016, complete genome
MG923477.1 Middle East respiratory syndrome-related coronavirus isolate MERS-CoV camel/Nigeria/NV2040/2016, complete genome
MG923476.1 Middle East respiratory syndrome-related coronavirus isolate MERS-CoV camel/Nigeria/NV1989/2016, complete genome
MG923475.1 Middle East respiratory syndrome-related coronavirus isolate MERS-CoV camel/Nigeria/NV1657/2016, complete genome
MG923474.1 Middle East respiratory syndrome-related coronavirus isolate MERS-CoV camel/Nigeria/NV1405/2016, complete genome
MG923473.1 Middle East respiratory syndrome-related coronavirus isolate MERS-CoV camel/Burkina Faso/CIRAD-HKU697/2015, complete genome
MG923472.1 Middle East respiratory syndrome-related coronavirus isolate MERS-CoV camel/Nigeria/NS004/2015, complete genome
MG923471.1 Middle East respiratory syndrome-related coronavirus isolate MERS-CoV camel/Burkina Faso/CIRAD-HKU785/2015, complete genome
MG923470.1 Middle East respiratory syndrome-related coronavirus isolate MERS-CoV camel/Burkina Faso/CIRAD-HKU434/2015, complete genome
MG923469.1 Middle East respiratory syndrome-related coronavirus isolate MERS-CoV camel/Morocco/CIRAD-HKU213/2015, complete genome
MG923468.1 Middle East respiratory syndrome-related coronavirus isolate MERS-CoV camel/Ethiopia/AAU-EPHI-HKU4458/2017, complete genome
MG923467.1 Middle East respiratory syndrome-related coronavirus isolate MERS-CoV camel/Ethiopia/AAU-EPHI-HKU4448/2017, complete genome
MG923466.1 Middle East respiratory syndrome-related coronavirus isolate MERS-CoV camel/Ethiopia/AAU-EPHI-HKU4412/2017, complete genome
MG837012.1 Porcine epidemic diarrhea virus isolate CHN/SH-2016-4/2016, complete genome
MG837011.1 Porcine epidemic diarrhea virus isolate CHN/SH-2012-5/2012, complete genome
MG448607.1 Infectious bronchitis virus strain ck/CH/LHB/121042, complete genome
KY799582.1 Infectious bronchitis virus strain ck/CH/LSC/99I, complete genome
KY776701.1 Infectious bronchitis virus strain gammaCoV/ck/China/I0108/17, complete genome
KY776700.1 Infectious bronchitis virus strain gammaCoV/ck/China/I0712/11, complete genome
MG334555.1 Porcine epidemic diarrhea virus strain USA/OK10240-8/2017, complete genome
MG334554.1 Porcine epidemic diarrhea virus strain USA/OK10240-6/2017, complete genome
EU420138.1 Miniopterus bat coronavirus 1, complete genome
MG772808.1 Human coronavirus NL63 isolate CN0601/14, complete genome
MG781192.1 Porcine epidemic diarrhea virus strain PPC 14, complete genome
MF373643.1 Porcine epidemic diarrhea virus, complete genome
KY649107.1 Porcine epidemic diarrhea virus strain CH-HNKF-16, complete genome
KX442565.1 Hypsugo bat coronavirus HKU25 isolate NL140462, complete genome
KX442564.1 Hypsugo bat coronavirus HKU25 isolate YD131305, complete genome
MG596803.1 Middle East respiratory syndrome-related coronavirus isolate Bat-CoV/P.khulii/Italy/206645-63/2011, complete genome
MG596802.1 Middle East respiratory syndrome-related coronavirus isolate Bat-CoV/H.savii/Italy/206645-40/2011, complete genome
MF375374.1 Porcine epidemic diarrhea virus isolate CH/JXJA/2017, complete genome
KX722530.1 Feline coronavirus isolate Cat 1 Karlslunde, complete genome
KX722529.1 Feline coronavirus isolate UG-FH8, complete genome
KY688124.1 Middle East respiratory syndrome-related coronavirus strain Hu/Hufuf-KSA-11401/2015, complete genome
KY688123.1 Middle East respiratory syndrome-related coronavirus strain Hu/Hufuf-KSA-11150/2015, complete genome
KY688122.1 Middle East respiratory syndrome-related coronavirus strain Hu/Hufuf-KSA-11767/2015, complete genome
KY688121.1 Middle East respiratory syndrome-related coronavirus strain Hu/Hufuf-KSA-11442/2015, complete genome
KY688120.1 Middle East respiratory syndrome-related coronavirus strain Hu/Hufuf-KSA-11002/2015, complete genome
KY688119.1 Middle East respiratory syndrome-related coronavirus strain Hu/Aseer-KSA-Rs924/2015, complete genome
KY688118.1 Middle East respiratory syndrome-related coronavirus strain Hu/Khobar-KSA-6736/2015, complete genome
KY673149.1 Middle East respiratory syndrome-related coronavirus strain Camel/Oman_1_2015, complete genome
KY673148.1 Middle East respiratory syndrome-related coronavirus strain Hu/Oman_50_2015, complete genome
MF041982.1 Porcine deltacoronavirus strain SHJS/SL/2016, complete genome
KY566211.1 Feline coronavirus strain HLJ/HRB/2016/13, complete genome
KY566210.1 Feline coronavirus strain HLJ/HRB/2016/11, complete genome
KY566209.1 Feline coronavirus strain HLJ/HRB/2016/10, complete genome
KY513725.1 Porcine deltacoronavirus strain CH/Jiangsu/2014, complete genome
KY513724.1 Porcine deltacoronavirus strain CH/Hunan/2014, complete genome
KY581700.1 Middle East respiratory syndrome-related coronavirus strain Camel/UAE_3B-C_2014, complete genome
KY581699.1 Middle East respiratory syndrome-related coronavirus strain Camel/UAE_2B-E_2014, complete genome
KY581698.1 Middle East respiratory syndrome-related coronavirus strain Camel/UAE_1H-F_2014, complete genome
KY581697.1 Middle East respiratory syndrome-related coronavirus strain Camel/UAE_1H-D_2014, complete genome
KY581696.1 Middle East respiratory syndrome-related coronavirus strain Camel/UAE_1H-B_2014, complete genome
KY581695.1 Middle East respiratory syndrome-related coronavirus strain Camel/UAE_1B-A_2014, complete genome
KY581694.1 Middle East respiratory syndrome-related coronavirus strain Hu/UAE_X_2014, complete genome
KY581693.1 Middle East respiratory syndrome-related coronavirus strain Hu/UAE_032_2014, complete genome
KY581692.1 Middle East respiratory syndrome-related coronavirus strain Hu/UAE_025_2014, complete genome
KY581691.1 Middle East respiratory syndrome-related coronavirus strain Hu/UAE_023_2014, complete genome
KY581690.1 Middle East respiratory syndrome-related coronavirus strain Hu/UAE_017_2014, complete genome
KY581689.1 Middle East respiratory syndrome-related coronavirus strain Hu/UAE_015_2014, complete genome
KY581688.1 Middle East respiratory syndrome-related coronavirus strain Hu/UAE_011_2014, complete genome
KY581687.1 Middle East respiratory syndrome-related coronavirus strain Hu/UAE_011_2013, complete genome
KY581686.1 Middle East respiratory syndrome-related coronavirus strain Hu/UAE_009_2014, complete genome
KY581685.1 Middle East respiratory syndrome-related coronavirus strain Hu/UAE_004_2013, complete genome
KY581684.1 Middle East respiratory syndrome-related coronavirus strain Hu/UAE_002_2013, complete genome
KY994645.1 Porcine hemagglutinating encephalomyelitis virus strain JL/2008, complete genome
AY274119.3 Severe acute respiratory syndrome-related coronavirus isolate Tor2, complete genome
KY417152.1 Bat SARS-like coronavirus isolate Rs9401, complete genome
KY417151.1 Bat SARS-like coronavirus isolate Rs7327, complete genome
KY417150.1 Bat SARS-like coronavirus isolate Rs4874, complete genome
KY417149.1 Bat SARS-like coronavirus isolate Rs4255, complete genome
KY417148.1 Bat SARS-like coronavirus isolate Rs4247, complete genome
KY417147.1 Bat SARS-like coronavirus isolate Rs4237, complete genome
